epoch,train_loss,val_mse,val_loss_mask_mse,grad_norm_mean,grad_norm_max,clipped_batches,n_batches,clip_fraction,epoch_seconds,is_best,run_seed,model,epoch_gap
14,0.0790694747822625,0.0768619995117187,0.0764839649815713,0.0616433270825919,0.1767503470182418,0,55,0.0,1310.0255931250283,True,83453494,qlstm,-0.0025855098006912075
15,0.078995570055076,0.077065044148763,0.0766119020523563,0.0587445242838426,0.1823187917470932,0,55,0.0,1316.4454398750097,False,83453494,qlstm,-0.002383668002719705
16,0.078831693138395,0.076754963684082,0.0763282623291015,0.0574764306064356,0.1882220059633255,0,55,0.0,1326.6680943750544,True,83453494,qlstm,-0.0025034308092934943
17,0.0788983202236039,0.0767549601236979,0.0763183165519468,0.0687654021111401,0.2019068896770477,0,55,0.0,1321.691832832992,True,83453494,qlstm,-0.0025800036716570884
18,0.0793788349883897,0.0785087717692057,0.0779679437452747,0.0876550134652379,0.2471059113740921,0,55,0.0,1325.3917937919032,False,83453494,qlstm,-0.0014108912431149978
19,0.0794235924482345,0.0768374918619791,0.0764112632505355,0.0786164255474101,0.2203098088502884,0,55,0.0,1322.228867082973,False,83453494,qlstm,-0.003012329197699004
20,0.0787348995293889,0.0771009521484375,0.0766783279911164,0.0601753718770024,0.1937308609485626,0,55,0.0,1327.6244923330378,False,83453494,qlstm,-0.002056571538272503
21,0.0791876841102327,0.0770888010660807,0.0765867019161101,0.0773240018339658,0.2404050230979919,0,55,0.0,1331.551225416013,False,83453494,qlstm,-0.0026009821941226086
22,0.0793185304914202,0.0783785512288411,0.07780323250063,0.078735669651492,0.1966442465782165,0,55,0.0,1323.7351397920866,False,83453494,qlstm,-0.0015152979907901987
23,0.0790572430406297,0.0772936960856119,0.0768498476089969,0.0862423323856836,0.2389954328536987,0,55,0.0,1315.7266597920095,False,83453494,qlstm,-0.0022073954316328
24,0.079047620330538,0.0767708964029948,0.0763196790141444,0.0743350824637507,0.1945660412311554,0,55,0.0,1324.2279837080278,False,83453494,qlstm,-0.0027279413163936034
25,0.0788213324802262,0.0766699442545573,0.0762094145744077,0.0688922848679464,0.2426651865243911,0,55,0.0,1331.322819333058,True,83453494,qlstm,-0.002611917905818495
26,0.0788441726820809,0.0766085459391276,0.0761420509584488,0.0712854737754572,0.2246760874986648,0,55,0.0,1320.7443401250057,True,83453494,qlstm,-0.0027021217236321005
27,0.0793669840693473,0.0767920043945312,0.0763261059176537,0.0927257611797275,0.2798879742622375,0,55,0.0,1322.8960592499934,False,83453494,qlstm,-0.003040878151693599
28,0.0794783976759229,0.0769161590576171,0.0764609123968309,0.0905075494792651,0.238369420170784,0,55,0.0,1322.2453264580108,False,83453494,qlstm,-0.003017485279092
29,0.0788363317251205,0.0768091868082682,0.0763335925686743,0.0718423126604069,0.2055923491716385,0,55,0.0,1329.7679788749665,False,83453494,qlstm,-0.002502739156446207
30,0.0786158387831279,0.0766661468505859,0.0761556760726436,0.0690240679562769,0.2054720520973205,0,55,0.0,1325.2661559579428,False,83453494,qlstm,-0.0024601627104842982
31,0.0788038219894681,0.0767270650227864,0.0762079177364226,0.0766535217196426,0.2002555280923843,0,55,0.0,1323.8528272081169,False,83453494,qlstm,-0.0025959042530454973
32,0.079397150005613,0.0778089548746744,0.0772614209575037,0.0962137635458599,0.2677164375782013,0,55,0.0,1315.5782154579647,False,83453494,qlstm,-0.002135729048109297
33,0.0787678296310561,0.0767389226277669,0.0762130038353704,0.0780145256356759,0.2341535687446594,0,55,0.0,1333.7449521250091,False,83453494,qlstm,-0.0025548257956856946
34,0.0785640554172652,0.076537666829427,0.0760171971474924,0.051529863519086,0.1808154582977295,0,55,0.0,1333.406109290896,True,83453494,qlstm,-0.0025468582697728004
35,0.0788323068320751,0.0765830607096354,0.0760671248897429,0.075314970052039,0.2362134456634521,0,55,0.0,1335.416543124942,False,83453494,qlstm,-0.00276518194233219
36,0.0786829141208103,0.0766186197916666,0.0760755103326612,0.0802666426720944,0.2961948812007904,0,55,0.0,1340.6723085001577,False,83453494,qlstm,-0.002607403788149096
