run_seed,model,dataset_id,subset,group_type,group,forecaster,n,mse,mae,rmse,r2,n_negative_predictions,negative_prediction_fraction
0,qlstm,b34896367832cf11,baseline_common,hour_est,10,model,3,40805.82311913978,199.7810251701363,202.00451262073275,-41.61457508380807,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,10,persistence,3,2007.3333333333333,39.333333333333336,44.80327368991392,-1.096310048735205,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,10,daily_persistence,3,5006.333333333333,57.66666666666666,70.75544737568502,-4.2282432118821065,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,11,model,3,46362.73729580998,214.5425947659638,215.3200810324248,-141.8010388987987,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,11,persistence,3,621.6666666666666,19.666666666666668,24.93324420661432,-0.9147843942505134,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,11,daily_persistence,3,1774.0,39.333333333333336,42.118879377305376,-4.464065708418891,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,12,model,3,49158.96155899603,220.9253161281065,221.7182030393446,-144.05923082982434,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,12,persistence,3,60.66666666666666,7.333333333333333,7.788880963698615,0.820983606557377,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,12,daily_persistence,3,2659.6666666666665,47.66666666666666,51.571956203606106,-6.848196721311476,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,13,model,3,53581.08155183202,225.19615109288392,231.4758768248476,-17.747754216876146,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,13,persistence,3,1262.0,33.333333333333336,35.52463933666322,0.5584324702589223,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,13,daily_persistence,3,12619.333333333334,110.66666666666669,112.33580610532572,-3.4154420340564497,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,14,model,3,43425.43142382461,202.00976750428745,208.38769499139005,-15.323986417777183,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,14,persistence,3,3763.3333333333335,51.333333333333336,61.34601318205881,-0.4146687828919888,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,14,daily_persistence,3,10390.0,92.66666666666669,101.93134944657604,-2.9056887478072,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,15,model,3,29012.680705134597,167.8750621387712,170.33109142236654,-33.25795412571652,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,15,persistence,3,1797.6666666666667,33.666666666666664,42.39889935678362,-1.1226712149042246,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,15,daily_persistence,3,4220.666666666667,56.0,64.96665811527222,-3.9837313041196536,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,16,model,3,8365.68496533706,89.30239371823394,91.46411845820776,-20.58576969267016,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,16,persistence,3,6399.0,79.0,79.9937497558403,-15.511181192660548,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,16,daily_persistence,3,982.6666666666666,30.0,31.347514521356658,-1.5355504587155964,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,17,model,3,162.76692542163872,9.156119684915607,12.758014164502198,-8.766015525298323,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,17,persistence,3,8464.666666666666,90.66666666666669,92.00362311706353,-506.88,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,17,daily_persistence,3,137.0,9.666666666666666,11.704699910719626,-7.220000000000001,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,18,model,3,937.8025347356996,28.682915608337023,30.62356175783117,-0.4412948792044566,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,18,persistence,3,4401.666666666667,61.0,66.34505759034856,-5.764856557377049,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,18,daily_persistence,3,1955.0,37.66666666666666,44.21538193886829,-2.004610655737705,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,19,model,3,1156.1488423454502,31.317166977698022,34.00218878756852,-0.4692656849913938,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,19,persistence,3,619.3333333333334,24.666666666666668,24.88640860657345,0.2129341993787067,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,19,daily_persistence,3,2363.333333333333,40.66666666666666,48.61412689057918,-2.0033888731996607,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,2,model,2,758.2372482106613,27.53589705215876,27.53610808031268,,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,2,persistence,2,450.0,15.0,21.213203435596427,,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,2,daily_persistence,2,0.0,0.0,0.0,,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,20,model,3,889.3820720815975,24.696327622257723,29.822509486654496,-0.1117275901019967,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,20,persistence,3,54.0,7.333333333333333,7.3484692283495345,0.9325,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,20,daily_persistence,3,2400.0,40.0,48.98979485566356,-2.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,21,model,3,651.8670234384296,23.657611058250357,25.53168665479093,0.1851662207019629,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,21,persistence,3,0.0,0.0,0.0,1.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,21,daily_persistence,3,2400.0,40.0,48.98979485566356,-2.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,22,model,3,518.1096295853959,21.1594903956788,22.76202164978752,0.3523629630182552,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,22,persistence,3,0.0,0.0,0.0,1.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,22,daily_persistence,3,2400.0,40.0,48.98979485566356,-2.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,23,model,3,521.8196873337082,22.53856199753447,22.843372941264786,0.3477253908328648,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,23,persistence,3,0.0,0.0,0.0,1.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,23,daily_persistence,3,2400.0,40.0,48.98979485566356,-2.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,3,model,2,763.5923910689108,27.5812745965235,27.63317555166092,,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,3,persistence,2,0.0,0.0,0.0,,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,3,daily_persistence,2,0.0,0.0,0.0,,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,4,model,3,977.8045596026648,30.95903282258229,31.269866638709296,-4399.12051821199,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,4,persistence,3,0.3333333333333333,0.3333333333333333,0.5773502691896257,-0.4999999999999998,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,4,daily_persistence,3,0.6666666666666666,0.6666666666666666,0.816496580927726,-2.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,5,model,3,585.4400540149912,23.478851456393624,24.195868531941382,-93.08858010955215,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,5,persistence,3,91.33333333333331,9.333333333333334,9.556847457887631,-13.67857142857143,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,5,daily_persistence,3,17.333333333333332,3.333333333333333,4.163331998932265,-1.785714285714286,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,6,model,3,156.23977444961182,11.102834460368614,12.499590971292294,-174.7697462558133,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,6,persistence,3,1283.6666666666667,35.666666666666664,35.828294219327084,-1443.1249999999998,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,6,daily_persistence,3,2.6666666666666665,1.3333333333333333,1.632993161855452,-2.0,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,7,model,3,5893.863279560782,75.72943053083257,76.77150043838391,-46.960912763152834,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,7,persistence,3,6921.666666666667,82.33333333333333,83.19655441583303,-55.3245931283906,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,7,daily_persistence,3,475.3333333333333,21.33333333333333,21.802140567690444,-2.867992766726944,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,8,model,3,15705.538092507668,125.21251558985962,125.32173830787563,-77.2668011254535,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,8,persistence,3,5402.0,73.33333333333333,73.49829930005184,-25.920265780730897,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,8,daily_persistence,3,559.0,21.666666666666668,23.643180835073775,-1.7857142857142856,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,9,model,3,31418.090363391308,175.33302651305775,177.2514890301103,-30.025105691301487,0.0,0.0
0,qlstm,b34896367832cf11,baseline_common,hour_est,9,persistence,3,5979.666666666667,75.0,77.32830443418933,-4.904871626069783,,
0,qlstm,b34896367832cf11,baseline_common,hour_est,9,daily_persistence,3,1767.0,31.666666666666668,42.03569911396741,-0.7448979591836735,,
