run_seed,model,case_type,timestep,mse,drift,n
0,qslstm,late,9,1.398182884395274,0.0065219551324844915,1
0,qslstm,late,10,1.5468363866275403,0.061270937323570196,1
0,qslstm,late,11,1.496605611191658,0.02036044001579279,1
0,qslstm,late,12,0.5864634237740383,,1
0,qslstm,late,13,0.5551065829332922,0.020754247903823908,1
0,qslstm,late,14,0.6108304027490172,0.03650164604187017,1
0,qslstm,late,15,0.6158771156890888,0.0032219886779785156,1
0,qslstm,near_best,2,0.6917810033014584,,1
0,qslstm,near_best,3,0.1403559132940268,,1
0,qslstm,near_best,4,1.2587140925673026,,1
0,qslstm,near_best,5,1.3266542053854649,0.0298804789781571,1
0,qslstm,near_best,6,1.3752448332054747,0.0209035724401474,1
0,qslstm,near_best,7,1.3642855031040568,0.004682004451751709,1
0,qslstm,near_best,8,1.374560398813217,0.004390150308609009,1
0,qslstm,near_best,9,1.36801368029953,0.002795308828353882,1
0,qslstm,near_best,10,1.3430153461505163,0.010735780000686729,1
0,qslstm,near_best,11,1.3585212029012086,0.006670787930488614,1
0,qslstm,near_best,12,1.3708103950137662,0.00525994598865509,1
0,qslstm,near_best,13,1.3637390424499962,0.003023743629455511,1
0,qslstm,near_best,14,1.3691164428668765,0.0023001134395599365,1
0,qslstm,near_best,15,1.372926427038479,0.0016269385814666748,1
