run_seed,model,split,event,near_best_distractor,other_distractor,selectivity_vs_near_best_distractor,selectivity_vs_other_distractor
1211904294,qslstm,extrapolation,0.15778315355060324,0.05759725354571046,0.06091962082780348,0.10018590000489278,0.09686353272279977
1211904294,qslstm,test,0.192514361439562,0.09493538439633116,0.08694459207509013,0.09757897704323083,0.10556976936447186
1212609727,qlstm,extrapolation,0.11943353226812621,0.09877593656755701,0.11516745910801528,0.0206575957005692,0.004266073160110934
1212609727,qlstm,test,0.1229181629973311,0.10587522896992897,0.11823514866548003,0.017042934027402132,0.004683014331851074
1212609727,qslstm,extrapolation,0.16302755934174887,0.06507308037158578,0.07223859019864803,0.09795447897016309,0.09078896914310083
1212609727,qslstm,test,0.1883459893593588,0.09243830613813496,0.09900050610508176,0.09590768322122385,0.08934548325427705
1668868548,qlstm,extrapolation,0.1263436095178652,0.10259079833394666,0.12103232306978115,0.023752811183918532,0.0053112864480840405
1668868548,qlstm,test,0.1290266043381721,0.10787875375497016,0.1219668720043338,0.021147850583201927,0.0070597323338382895
1668868548,qslstm,extrapolation,0.13868555882932343,0.044431452559266976,0.051738446406279566,0.09425410627005645,0.08694711242304387
1668868548,qslstm,test,0.16974788325090387,0.07820170942332831,0.0812563322902242,0.09154617382757556,0.08849155096067966
1710807515,qlstm,extrapolation,0.1096735369876645,0.08735284020078414,0.09928671814684235,0.022320696786880354,0.01038681884082214
1710807515,qlstm,test,0.11594428044331205,0.09415196817005474,0.10257042813543636,0.021792312273257314,0.013373852307875689
1710807515,qslstm,extrapolation,0.14711488196278377,0.050372292975759,0.057816283783556556,0.09674258898702477,0.08929859817922722
1710807515,qslstm,test,0.16974032145425658,0.08218342987800692,0.08458080255994978,0.08755689157624966,0.0851595188943068
1716202887,qlstm,extrapolation,0.1465924268668384,0.1195192470139135,0.13306351086126256,0.0270731798529249,0.013528916005575847
1716202887,qlstm,test,0.14931199736679268,0.12299248408782558,0.13485657292354447,0.026319513278967102,0.01445542444324821
1716202887,qslstm,extrapolation,0.1829370611439649,0.051267273254701214,0.060479750846950446,0.1316697878892637,0.12245731029701445
1716202887,qslstm,test,0.2038717110962103,0.09805943298781909,0.08904564627634333,0.10581227810839121,0.11482606481986697
1806016308,qlstm,extrapolation,0.147582251199728,0.12430726453540951,0.1438306155057267,0.0232749866643185,0.003751635694001304
1806016308,qlstm,test,0.1465641313530026,0.12488523982511228,0.14503287128725612,0.021678891527890334,0.001531260065746498
1806016308,qslstm,extrapolation,0.1455269789985063,0.0505325221981866,0.055386366647647914,0.0949944568003197,0.09014061235085839
1806016308,qslstm,test,0.1737263587490147,0.082406499774061,0.08710628757654167,0.0913198589749537,0.08662007117247304
1885117419,qlstm,extrapolation,0.11182507913715865,0.07982532225286408,0.09004490633139131,0.03199975688429457,0.021780172805767342
1885117419,qlstm,test,0.11974871434660572,0.08998318755452235,0.0945757670144047,0.02976552679208337,0.025172947332201018
1885117419,qslstm,extrapolation,0.19631668336058303,0.07273843765775294,0.061591175581409564,0.12357824570283009,0.13472550777917347
1885117419,qslstm,test,0.2226972397836206,0.10585351986984462,0.084414851120181,0.11684371991377598,0.13828238866343961
1952804984,qlstm,extrapolation,0.12701492485265775,0.10009821272538476,0.10553723948557697,0.026916712127272993,0.02147768536708078
1952804984,qlstm,test,0.13187583225155258,0.10570109641596884,0.10970842216694007,0.026174735835583746,0.02216741008461251
1952804984,qslstm,extrapolation,0.17384875316121717,0.08462478482470076,0.07495945255627441,0.08922396833651641,0.09888930060494276
1952804984,qslstm,test,0.18969028529469842,0.10966786074993842,0.09900399768762369,0.08002242454476,0.09068628760707473
1992756749,qlstm,extrapolation,0.1203771065859868,0.11173816205084448,0.11431108778617248,0.008638944535142315,0.006066018799814318
1992756749,qlstm,test,0.1231123353384969,0.11589451096436419,0.11557282951674736,0.007217824374132709,0.007539505821749545
1992756749,qslstm,extrapolation,0.14856461945064078,0.07304021492447324,0.05243199856362595,0.07552440452616754,0.09613262088701482
1992756749,qslstm,test,0.18269243320383266,0.12514236527040268,0.07727237826035951,0.05755006793342998,0.10542005494347315
2036585866,qlstm,extrapolation,0.11957163949336572,0.10195148762176616,0.11197445464143266,0.017620151871599557,0.007597184851933059
2036585866,qlstm,test,0.12491985618512169,0.10276181257422178,0.11435044586970247,0.022158043610899916,0.01056941031541922
2036585866,qslstm,extrapolation,0.20590902570293715,0.1476305317509998,0.07580117668084786,0.05827849395193735,0.13010784902208927
2036585866,qslstm,test,0.2330103467814784,0.20136361083096896,0.1045613058939963,0.03164673595050943,0.1284490408874821
