run_seed,model,split,kind,n_steps,pull,write_k
266064982,qlstm,extrapolation,other_distractor,12257,0.028807327064981937,0.11486006842134124
266064982,qlstm,test,event,2036,0.03977958206636264,0.13182796386514614
266064982,qlstm,test,near_best_distractor,4383,0.02515075508927527,0.10457578498563966
266064982,qlstm,test,other_distractor,22581,0.029868775836063927,0.1188593761735014
266064982,qslstm,extrapolation,event,664,0.045465123850897134,0.15483624781494282
266064982,qslstm,extrapolation,near_best_distractor,2329,0.015353643725285871,0.07374685348459326
266064982,qslstm,extrapolation,other_distractor,12257,0.01618474899161511,0.06342417165002423
266064982,qslstm,test,event,2036,0.051831369096146114,0.16821500350987253
266064982,qslstm,test,near_best_distractor,4383,0.022202948171636053,0.09539997264545533
266064982,qslstm,test,other_distractor,22581,0.022909952153148477,0.08999197057643489
435874469,qlstm,extrapolation,event,685,0.040436815345374334,0.13566425124060189
435874469,qlstm,extrapolation,near_best_distractor,2302,0.02541640233879603,0.10990179526112108
435874469,qlstm,extrapolation,other_distractor,12263,0.030568030273157073,0.12138208539753319
435874469,qlstm,test,event,2071,0.04233143379698624,0.1374165510869997
435874469,qlstm,test,near_best_distractor,4292,0.02659563678564141,0.11454307335175216
435874469,qlstm,test,other_distractor,22637,0.03132518335229628,0.12436651481046046
435874469,qslstm,extrapolation,event,685,0.047002789378166196,0.16098240112616471
435874469,qslstm,extrapolation,near_best_distractor,2302,0.01593720068836295,0.06843085487647008
435874469,qslstm,extrapolation,other_distractor,12263,0.018500413215540464,0.0756622362384298
435874469,qslstm,test,event,2071,0.058698246547820083,0.18760307709429863
435874469,qslstm,test,near_best_distractor,4292,0.02397762112256976,0.10780704627884181
435874469,qslstm,test,other_distractor,22637,0.024494704434579614,0.09847411733112899
484324222,qlstm,extrapolation,event,672,0.0364900084123725,0.12288577134307263
484324222,qlstm,extrapolation,near_best_distractor,2288,0.023129920247238832,0.10132615034247959
484324222,qlstm,extrapolation,other_distractor,12290,0.027684871991831082,0.11054114168263318
484324222,qlstm,test,event,2091,0.03842728586073756,0.12783868465863676
484324222,qlstm,test,near_best_distractor,4366,0.025460000506137632,0.10409629434405863
